suburb,postcode,state,state_code
Coolah,2843,New South Wales,NSW
Dunedoo,2844,New South Wales,NSW
Wallerawang,2845,New South Wales,NSW
Glen Davis,2846,New South Wales,NSW
Portland (NSW),2847,New South Wales,NSW
Clandulla,2848,New South Wales,NSW
Murrumbo,2849,New South Wales,NSW
Mudgee,2850,New South Wales,NSW
Gulgong,2852,New South Wales,NSW
Cudal,2864,New South Wales,NSW
Manildra,2865,New South Wales,NSW
Molong,2866,New South Wales,NSW
Cumnock,2867,New South Wales,NSW
Obley,2868,New South Wales,NSW
Peak Hill (NSW),2869,New South Wales,NSW
Parkes (NSW),2870,New South Wales,NSW
Forbes (NSW),2871,New South Wales,NSW
Tottenham (NSW),2873,New South Wales,NSW
Tullamore,2874,New South Wales,NSW
Ootha,2875,New South Wales,NSW
Bogan Gate,2876,New South Wales,NSW
Condobolin,2877,New South Wales,NSW
Ivanhoe (NSW),2878,New South Wales,NSW
Menindee,2879,New South Wales,NSW
Broken Hill,2880,New South Wales,NSW
Lord Howe Island,2898,New South Wales,NSW
Norfolk Island,2899,Other Territories,
Greenway,2900,Australian Capital Territory,ACT
Kambah,2902,Australian Capital Territory,ACT
Oxley (ACT),2903,Australian Capital Territory,ACT
Fadden,2904,Australian Capital Territory,ACT
Bonython,2905,Australian Capital Territory,ACT
Conder,2906,Australian Capital Territory,ACT
Crace,2911,Australian Capital Territory,ACT
Gungahlin,2912,Australian Capital Territory,ACT
Ngunnawal,2913,Australian Capital Territory,ACT
Throsby,2914,Australian Capital Territory,ACT
Melbourne,3000,Victoria,VIC
East Melbourne,3002,Victoria,VIC
West Melbourne,3003,Victoria,VIC
Melbourne,3004,Victoria,VIC
Southbank,3006,Victoria,VIC
Docklands,3008,Victoria,VIC
Seddon (Vic.),3011,Victoria,VIC
Maidstone,3012,Victoria,VIC
Yarraville,3013,Victoria,VIC
Spotswood,3015,Victoria,VIC
Williamstown (Vic.),3016,Victoria,VIC
Seaholme,3018,Victoria,VIC
